judul,author,rating,num_of_rating,min_age,max_age,image_url,desc,user
Unicorn Academy: Rainbow of Adventure Boxed Set (Books 1-4),Julie Sykes,4.8,594.0,6,9,https://www.amazon.com/Unicorn-Academy-Rainbow-Adventure-Boxed/dp/059330151X/ref=sr_1_363?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-363,"What if your best friend was a unicorn? This giftable boxed set includes books 1-4 of this magical chapter book series, where everyone is paired with their very own unicorn.At Unicorn Academy, every student gets their own beautiful unicorn! Each unicorn has a special kind of magic. Some can fly, some turn invisible, and some can even create fire! To discover their powers, unicorns must bond with their student. Friendship is the key to the magic of Unicorn Island. Meet four magical best friendships in this collection!Boxed set includes: #1: Sophia and Rainbow: Sophias first lesson at Unicorn Academy will lead her to save the magic of the island!#2: Scarlett and Blaze: Blaze just might have the magic power that will unfreeze Sparkle Lake!  #3: Ava and Star: The magical berries the unicorns eat are disappearing--can Ava and Star solve the mystery? #4: Isabel and Cloud: Can this pair learn to trust each other when the school is in danger? Fans of Rainbow Magic, Purrmaids, and Princess Ponies will love this chapter book series about the magic of bonding with your own unicorn.",1
"NIV, Adventure Bible, Hardcover, Full Color",Zondervan,4.9,3.36,8,12,https://www.amazon.com/Adventure-Bible-Hardcover-Full-Color/dp/0310727472/ref=sr_1_364?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-364,"Take your kids on an adventure through God’s Word with the #1 Bible for kids!The bestselling NIV Adventure Bible will get kids excited about reading the Scriptures! Kids will be captivated with the full-color features that make reading the Bible and memorizing their favorite verses engaging and fun. Along the way they will meet all types of people, see all sorts of places, and learn all kinds of things about the Bible. Most importantly they will grow closer in their relationship with God.Over 10 million copies within the Adventure Bible® brand have been sold. The Adventure Bible is recommended by more Christian schools and churches than any other Bible for kids!Features include:Complete text of the accurate, readable, clear New International Version (NIV)Full-color design throughout – makes learning about the people, places, and culture of the Bible even more engagingLife in Bible Times—Articles and illustrations describe what life was like in ancient daysWords to Treasure—Highlights great verses to memorizeDid You Know?—Interesting facts help you understand God’s Word and the life of faithPeople in Bible Times—Articles offer close-up looks at amazing people of the BibleLive It!—Hands-on activities help you apply biblical truths to your lifeTwenty special pages—Focus on topics such as famous people of the Bible, highlights of the life of Jesus, how to pray, and the love passage for kids, all with a jungle safari themeBook introductions with useful facts about each book of the BibleDictionary/concordance for looking up tricky wordsColor map section to help locate places in the Bible8.75-point type sizeUsing the accurate, readable, and clear New International Version (NIV) text makes the Bible accessible and easy-to-read for kids. The NIV is the result of over 50 years of work by the Committee on Bible Translation, who oversee the efforts of many contributing scholars. Representing the spectrum of evangelicalism, the translators come from a wide range of denominations and various countries and continually review new research to ensure the NIV remains at the forefront of accessibility, relevance, and authority. Every NIV Bible that is purchased helps Biblica translate and give Bibles to people in need around the world.",1
An Elephant & Piggie Biggie! Volume 3 (An Elephant and Piggie Book),Mo Willems,4.9,2.124,4,8,https://www.amazon.com/Elephant-Piggie-Biggie-Book/dp/1368057152/ref=sr_1_365?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-365,"From award-winning, best-selling author and illustrator Mo Willems comes a bind-up of five Elephant & Piggie adventures to help foster early readers problem-solving skills. Titles include: There is a Bird on Your Head!; Are You Ready to Play Outside?; Elephants Cannot Dance!; Should I Share My Ice Cream?; and I Will Take a Nap!",1
The Story of Martin Luther King Jr.: A Biography Book for New Readers (The Story Of: A Biography Series for New Readers),Christine Platt,4.9,271.0,6,8,https://www.amazon.com/Story-Martin-Luther-King-Jr/dp/1641529547/ref=sr_1_366?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-366,"Discover the life of Martin Luther King Jr―a story for kids ages 6 to 9 about standing up for civil rights Martin Luther King Jr became one of the most important civil rights leaders in America by fighting for equality for black people. Before he made history with his powerful speeches and peaceful protests, Martin was a dedicated, smart kid who loved to learn. He challenged racism and overcame hardships to follow his passion and do the right thing. Of all the Martin Luther King Jr books for kids, this one really helps you explore how Martin went from being a kid with a dream to an outstanding leader who made America a better place for everyone. How will his life inspire you to do what’s right? All Martin Luther King Jr books for kids should include: Path to power―Unlike other Martin Luther King Jr books for kids, this one has a visual timeline so you can see Martin’s progress through life. Word definitions―This standout among Martin Luther King Jr books for kids has a helpful glossary for the more advanced words and ideas inside. Lasting change―Everything that Martin Luther King Jr books for kids should be, this book explains how Martin made the world a better place for future generations.If you’ve been searching for Martin Luther King Jr books for kids that have beautiful illustrations and easy-to-read chapters, look no further―this one has it all! ",1
"World of Eric Carle, My First Library Board Book Block 12-Book Set - PI Kids",Editors of Phoenix International Publications,4.7,5.337000000000001,0,4,https://www.amazon.com/World-Carle-First-Library-Board/dp/1503723003/ref=sr_1_367?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-367,"The Very Hungry Caterpillar is having an anniversary, and its a big one! Celebrate the beloved books 50th anniversary with this Eric Carle Book Block Library. Look, find, and learn with the Very Hungry Caterpillar! This take-along library includes 12 sturdy little board books featuring classic Eric Carle art. Six Look and Find titles let little ones search the pages for hidden objects. Six Here, There, and Everywhere titles explore concepts like numbers, letters, colors, and shapes. Its a perfect first reading experience for little ones who are hungry for fun! This Book Block Library is special because:  Sharing books with your little one strengthens your bond Small board books are durable and the perfect size for small children Carry case has a built-in handle for easy travel Features the art styling of The Very Hungry Caterpillar author and illustrator Eric Carle ",1
Preschool Cutting and Pasting (Highlights Learn on the Go Practice Pads),Highlights Learning,4.6,1.209,3,5,https://www.amazon.com/Preschool-Cutting-Pasting-Highlights-Practice/dp/1684376564/ref=sr_1_368?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-368,"Preschoolers will develop important pre-writing fine-motor skills and hand-eye coordination through cutting and pasting activities, using Thats Silly(TM) puzzles, matching, and more, all in an affordable, travel-friendly pad format.Being able to cut and paste is an important step toward school readiness, and Highlights infuses Fun with a Purpose® into this essential learning skill. Cutting and Pasting is a 64-page full-color pad that gives preschoolers plenty of practice with scissors through interactive puzzles, cutting lines and shapes, cutting out and assembling simple toys, and other activities that improve manual dexterity.",1
The Unofficial Ultimate Harry Potter Spellbook: A complete reference guide to every spell in the wizarding world (The Unofficial Harry Potter Reference Library),Media Lab Books,4.8,2.132,8,99,https://www.amazon.com/Unofficial-Ultimate-Harry-Potter-Spellbook/dp/1948174243/ref=sr_1_369?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-369,"DISCOVER THE MAGIC!- A comprehensive compendium of spells from every Potter book, movie, video game and card game- Keepsake quality, with a silky, embossed cover and sturdy interior pages- The perfect gift for wizards, witches and muggles everywhere!The Unofficial Ultimate Harry Potter Spellbook is a beautiful, elegantly designed reference that details all of the known spells cast in the Harry Potter films, books, video games and card games, as well as official Harry Potter spinoffs, such as Fantastic Beasts and Where to Find Them. There are more than 240 spells, charms, curses, hexes and jinxes in all, plus a catalog of enchanted objects. Each spell is given its own entry including spell name, pronunciation and etymology, a description of the spell effect, wand movements and vocalizations where applicable, explanatory notes, and fun facts related to each spell, such as who it was used against, what the outcome was, or what a spell’s unusual history might be. Sharp-eyed readers will also find handwritten comments throughout.With an introduction on spell-casting and a guide to wand woods and cores, The Unofficial Ultimate Harry Potter Spellbook is a must-have magical treasure for any Harry Potter fans library.",1
The Couch Potato,Jory John,4.9,834.0,4,8,https://www.amazon.com/Couch-Potato-Jory-John/dp/0062954539/ref=sr_1_370?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-370,"An Instant New York Times Bestseller * An Instant Indie Bestseller * An Indie Next List SelectionFeeling fried? Peel yourself on the couch and meet your new pal-tato! The winning fourth picture book from the #1 New York Times bestselling creators of The Bad Seed, The Good Egg, and The Cool Bean, Jory John and Pete Oswald, will get you and your kids moving!The Couch Potato has everything within reach and doesnt have to move from the sunken couch cushion. But when the electricity goes out, Couch Potato is forced to peel away from the comforts of the living room and venture outside. Could fresh air and sunshine possibly be better than the views on screen? Readers of all ages will laugh along as their new best spuddy learns that balancing screen time and playtime is the root to true happiness. Check out Jory John and Pete Oswald’s other funny, bestselling books for kids 4-8 and anyone who wants a laugh: The Bad Seed The Good Egg The Good Egg Presents: The Great Eggscape! That’s What Dinosaurs Do",1
Blackbird (Five Nights at Freddy's: Fazbear Frights #6) (6),Scott Cawthon,4.9,217.0,12,99,https://www.amazon.com/Blackbird-Five-Nights-Freddys-Fazbear/dp/1338703897/ref=sr_1_371?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-371,"Five Nights at Freddys fans wont want to miss this pulse-pounding collection of three novella-length tales that will keep even the bravest FNAF player up at night... Haunted by the past . . . To avoid confronting an ugly truth, Nole falls prey to a monster that punishes past transgressions. Growing weaker by the day, nine-year-old Jake looks back on the time before he was sick, imagining life as if he were well again. And, forever desperate to prove his worth to his arrogant brother and distant father, Toby chases victory at an arcade game with horrifying consequences. But in the unpredictable world of Five Nights at Freddys, sometimes the past can take on a life of its own. In this sixth volume, Five Nights at Freddys creator Scott Cawthon spins three sinister novella-length stories from different corners of his series canon, featuring cover art from fan-favorite artist LadyFiszi. Readers beware: This collection of terrifying tales is enough to unsettle even the most hardened Five Nights at Freddys fans.",1
Disney Moana - I Am Moana Little Sound Book - PI Kids (Disney Moana: Play-A-Sound),Editors of Phoenix International Publications,4.6,5.171,0,6,https://www.amazon.com/Disney-Moana-Little-Play-Sound/dp/1503711064/ref=sr_1_372?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-372,"All her life, Moana of Motunui has heard the legends of a voyager who will sail far beyond her island home. What will her legend be? Join Moana on her daring adventure beyond her reef and sailing into the high-seas in I Am Moana, a sound book retelling of the major motion picture film. Bring her rich, vibrant journey to life by pressing the seven movie-inspired sound buttons to add cool sound effects and character voices to the story. Readers will find big inspiration in Moanas passion for greatness. This Sound Book is special because:  Hands on interaction engages young readers Multisensory reading experiences stimulate the imaginations of young readers Matching pictures to play-a-sound buttons builds concentration Includes popular Disney characters: Moana, Maui, and more! ",1
The Grinny Granny Donkey,Craig Smith,4.8,3.127,3,5,https://www.amazon.com/Grinny-Granny-Donkey-Craig-Smith/dp/1338692275/ref=sr_1_373?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-373,"From the internationally bestselling creators of The Wonky Donkey comes a third member of the family!There was a sweet donkey who lived on the heath.She was so funny with her false teeth...Hee Haw!Another sequel to the laugh-out-loud viral sensation, The Wonky Donkey, is here! This time, readers will meet Dinky Donkeys grandma: a grinny granky plunky-plinky swanky clinky-clanky zonky dunky-drinky clunky donkey!Brought to life by Craig Smiths signature playful verses and Katz Cowleys charming illustrations, The Grinny Granny Donkey is just as much fun as her offspring.",1
"Social Skills Activities for Kids: 50 Fun Exercises for Making Friends, Talking and Listening, and Understanding Social Rules",Natasha Daniels,4.6,1.707,6,10,https://www.amazon.com/Social-Skills-Activities-Kids-Understanding/dp/1641522968/ref=sr_1_374?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-374,"The fun way for kids 6 to 10 to develop social skills and make friends more easilyWhat are the Dos and Don’ts for making and keeping friends? How can you decode body language clues? What’s the best way to keep a conversation going? Just like learning multiplication tables, social skills don’t come naturally―every child has to learn them. Luckily, this book makes mastering social skills super fun with 50 awesome activities.Social Skills Activities for Kids gives children the confidence to successfully navigate social situations at home, school, and the world in between. From keeping the conversation ball moving to learning to compromise to practicing good table manners, these engaging activities help kids develop and use their social skills super powers.Inside Social Skills Activities for Kids, you’ll find:Life lessons―Kids learn how to handle everyday social situations like communicating with peers and adults, using and interpreting body language, reading social cues, and more.50 Interactive activities―Games, fill-in-the-blank exercises, and reflective entries keep kids learning and engaged.Real scenarios―Includes up-to-date topics like bullying and using social media.Get the courage to be your very best self with Social Skills Activities for Kids.",1
Are You My Mother ?,P.D. Eastman,4.8,9.27,3,7,https://www.amazon.com/Are-You-Mother-P-D-Eastman/dp/0394800184/ref=sr_1_375?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-375,"This must-have classic about a baby bird in search of his mother is the perfect gift for Mothers Day! A baby bird goes in search of his mother in this hilarious Beginner Book edited by Dr. Seuss. When a mother birds egg starts to jump, she hurries off to make sure she has something for her little one to eat. But as soon as shes gone, out pops the baby bird. He immediately sets off to find his mother, but not knowing what she looks like makes it a challenge. The little hatchling is determined to find his mother, even after meeting a kitten, a hen, a dog, and a Snort. The timeless message of the bond between mother and child make P. D. Eastmans Are You My Mother? a must for baby showers, beginning readers, and Mothers Day. Originally created by Dr. Seuss, Beginner Books encourage children to read all by themselves, with simple words and illustrationsthat give clues to their meaning.",1
The Twilight Saga White Collection,Stephenie Meyer,4.8,6.294,12,99,https://www.amazon.com/Twilight-Saga-White-Collection/dp/0316243981/ref=sr_1_376?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-376,"Stephenie Meyers fans will want to sink their teeth into this stunning Twilight Saga collectors set, featuring exclusive white covers.This gorgeous gift set includes paperback editions of Twilight, New Moon, Eclipse, Breaking Dawn, and The Short Second Life of Bree Tanner with exclusive cover redesigns, making it the perfect gift for fans of the bestselling series.Deeply romantic and extraordinarily suspenseful, The Twilight Saga captures the struggle between defying our instincts and satisfying our desires.Its here! #1 bestselling author Stephenie Meyer makes a triumphant return to the world of Twilight with the highly anticipated companion, Midnight Sun: the iconic love story of Bella and Edward told from the vampires point of view.People do not want to just read Meyers books; they want to climb inside them and live there. -- TimeA literary phenomenon. -- The New York Times",1
The Babies and Kitties Book,John Schindel,4.8,371.0,0,3,https://www.amazon.com/Babies-Kitties-Book-John-Schindel/dp/0358164052/ref=sr_1_377?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-377,"Jam-packed with colorful photos of adorable kittens and sweet babies, this rhyming board book celebrates all of the ways kids and cats are alike. A companion to The Babies and Doggies Book. When you stop and think about it, babies and kitties do many of the same things: They nap, climb, and hide. They play and cuddle. Lots of things babies do kitties do too! With its brief rhyming text and full-color photographs, The Babies and Kitties Book is engaging for infants, a fun read-aloud for parents, and a treat for baby- and kitty-lovers alike. A companion to The Babies and Doggies Book.",1
Pop-up Peekaboo! I Love You,DK,4.8,598.0,1,3,https://www.amazon.com/Pop-up-Peekaboo-I-Love-You/dp/146546526X/ref=sr_1_378?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-378,"Find out whos sending Sheep presents in this cute baby book with flaps to lift and pop-ups to enjoy.This read-aloud childrens book encourages first learning by introducing little ones to colorful scenes and adorable cuddly characters.With the help of parents and caregivers, toddlers will have fun turning the pages, lifting the flaps to play peekaboo, and guessing whos sending the surprises. This book is the perfect gift for Valentines day, birthdays, and other special occasions, and is certain to make toddlers smile! Ideal for preschool play, this sturdy baby book will appeal to both parents and children and will keep little ones entertained time and time again!",1
1000 Stickers: 1000 Stickers (Sticker Activity Fun),Roger Priddy,4.5,2.583,4,7,https://www.amazon.com/1000-Stickers-Sticker-Activity-Fun/dp/0312504926/ref=sr_1_379?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-379,"Roger Priddy’s 1000 Stickers is an activity book offering children hours of fun in exploring images and finding their matching outlines.With 1000 replaceable, photographic stickers to play with, young kids can engage in pages of activities to complete―and develop their hand-eye coordination skills along the way.",1
"The Drawing Book for Kids: 365 Daily Things to Draw, Step by Step (Woo! Jr. Kids Activities Books)",Woo! Jr. Kids Activities,4.7,6.771,5,7,https://www.amazon.com/Drawing-Book-Kids-Things-Activities/dp/0997799374/ref=sr_1_380?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-380,"The most comprehensive how to draw book for kids! This childrens drawing book gives you 365 things to draw every day for an entire year - animals, objects, food, plants, vehicles, sports, holidays and more. Every mini drawing lesson is broken down into easy to follow step by step instructions, so that all budding artists can create a masterpiece. This book is perfect for kids 9-12 +, but kids age 6-8 with a high interest in art will be able to follow our diagrams easily as well.The Drawing Book for Kids is the only book youll need to turn your kids creativity into artistic confidence!",1
My First Touch and Feel Picture Cards: First Words (My 1st T&F Picture Cards),DK,4.8,6.88,1,3,https://www.amazon.com/First-Touch-Feel-Picture-Cards/dp/1465468137/ref=sr_1_381?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-381,"Give your toddler a head start with these 16 colorful and tactile first words flash cards, expertly designed to develop early language skills, and ideal for preschool play.Every card pack in DKs My First Touch and Feel Picture Cards series contains 16 sturdy picture cards, each with their own vibrant image and touchable texture. First Words features common animals like fish, dogs, and cats, as well as household items like keys and shoes, and vehicles like cars, tractors, and fire trucks.To provide even more educational value, the back of each picture card has word translations in Spanish, French, German, and Chinese, and phonetic spellings to help with pronunciation. Youll also find a series of engaging questions about the related animal or object. For example, the dog card has questions such as What sound does a dog make?, What do you call a baby dog?, and more. A guidance card, which has tips for creative learning games and ideas for additional language activities, is included with each pack and helps both parents and little ones get the most from this collection.",1
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,4.8,12.396,8,12,https://www.amazon.com/Awesome-Facts-Everything-National-Geographic/dp/1426310498/ref=sr_1_382?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-382,"Filled with photographs, this beautifully designed book is organized into two-page spreads that each focus on a different topic, making it easy and fun to read. --Redding.comPresenting the next must-have, fun-filled gift book from the team that created Ultimate Weird But True, 5,000 Cool Facts About Everything treats kids to brain candy and eye candy all rolled into one treasure trove of high-interest fascinating facts. Lively and information-packed, this book is literally busting its covers with fascinating, fun-tastic facts on super, sensational topics that kids love. Who knew that there were so many sweet things to learn about chocolate or that a dozen delicious details about peanut butter would show up on a page with a few splotches of jelly to whet our appetites? Keep turning and a terrifyingly toothy shark tells you all about himself, while other spreads lay out tons of tips on toys and games, mysteries of history, robots and reptiles, sports and spies, wacky words, and so much more! A visual feast of colorful photographs surrounded by swirling, tipping, expanding, and climbing bits of information in a high-energy design, this book will satisfy both the casual browser and the truly fact obsessed.    1,200 photographs   ",1
Scribble Stones,Diane Alber,4.8,2.317,2,6,https://www.amazon.com/Scribble-Stones-Diane-Alber/dp/1732934649/ref=sr_1_383?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-383,A heartwarming story about a little stone who was able to spread kindness to the world!  This story starts off with a little stone who thinks he will be become something amazing but then soon realizes he had become a dull paper weight. Hes on a mission to become something greater and in the process meets scribble and splatter and they all come up a creative way to bring joy to thousands of people. If you loved Im Not just a Scribble... then youll love Scribble Stones! And youll even be inspired to make some scribble stones of your own!,1
Everything You Need to Ace American History in One Big Fat Notebook: The Complete Middle School Study Guide (Big Fat Notebooks),Workman Publishing,4.8,4.894,11,99,https://www.amazon.com/Everything-Need-American-History-Notebook/dp/0761160833/ref=sr_1_384?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-384,"The BIG FAT NOTEBOOK™ series is built on a simple and irresistible conceitborrowing the notes from the smartest kid in class. Its the revolutionary study guide for middle school students from the brains behind Brain Quest. There are units on Colonial America; the Revolutionary War and the founding of a new nation; Jefferson and the expansion west; the Civil War and Reconstruction; and all of the notable events of the 20th centuryWorld Wars, the Depression, the Civil Rights movement, and much more. These all-in-one notebooks make learning fun and are the perfect next step for every kid who grew up on Brain Quest.",1
"Six of Crows (Six of Crows, 1)",Leigh Bardugo,4.6,6.097,12,99,https://www.amazon.com/Six-Crows-Leigh-Bardugo/dp/125007696X/ref=sr_1_385?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-385,"The Grishaverse will be coming to Netflix soon with Shadow and Bone, an original series!   Enter the Grishaverse with the #1 New York Times–bestselling Six of Crows, Book One of the Six of Crows Duology. Ketterdam: a bustling hub of international trade where anything can be had for the right price―and no one knows that better than criminal prodigy Kaz Brekker. Kaz is offered a chance at a deadly heist that could make him rich beyond his wildest dreams. But he cant pull it off alone. . . . A convict with a thirst for revenge. A sharpshooter who cant walk away from a wager. A runaway with a privileged past. A spy known as the Wraith. A Heartrender using her magic to survive the slums.  A thief with a gift for unlikely escapes.  Six dangerous outcasts. One impossible heist. Kazs crew is the only thing that might stand between the world and destruction―if they dont kill each other first. Six of Crows by Leigh Bardugo returns to the breathtaking world of the Grishaverse in this unforgettable tale about the opportunity―and the adventure―of a lifetime. Praise for Six of Crows:“Six of Crows is a twisty and elegantly crafted masterpiece that thrilled me from the beginning to end.” –New York Times-bestselling author Holly Black “Six of Crows [is] one of those all-too-rare, unputdownable books that keeps your eyes glued to the page and your brain scrambling to figure out what’s going to happen next.” –Michael Dante DiMartino, co-creator of Avatar: The Last Airbender and The Legend of Korra “Theres conflict between morality and amorality and an appetite for sometimes grimace-inducing violence that recalls the Game of Thrones series. But for every bloody exchange there are pages of crackling dialogue and sumptuous description. Bardugo dives deep into this world, with full color and sound. If youre not careful, itll steal all your time.” ―The New York Times Book Review Read all the books in the Grishaverse!The Shadow and Bone Trilogy  (previously published as The Grisha Trilogy) Shadow and Bone Siege and Storm Ruin and Rising The Six of Crows Duology Six of Crows Crooked KingdomThe King of Scars DuologyKing of Scars The Language of Thorns: Midnight Tales and Dangerous MagicThe Severed Moon: A Year-Long Journal of MagicPraise for the Grishaverse “A master of fantasy.” ―The Huffington Post “Utterly, extremely bewitching.” ―The Guardian “The best magic universe since Harry Potter.” ―Bustle “This is what fantasy is for.” ―The New York Times Book Review “[A] world that feels real enough to have its own passport stamp.” ―NPR “The darker it gets for the good guys, the better.” ―Entertainment Weekly “Sultry, sweeping and picturesque. . . . Impossible to put down.” ―USA Today “There’s a level of emotional and historical sophistication within Bardugo’s original epic fantasy that sets it apart.” ―Vanity Fair “Unlike anything I’ve ever read.” ―Veronica Roth, bestselling author of Divergent “Bardugo crafts a first-rate adventure, a poignant romance, and an intriguing mystery!” ―Rick Riordan, bestselling author of the Percy Jackson series",1
